Link	Count	First used	First video	Last used	Last video
https://www.facebook.com/TimFerriss/v	1	2016-02-11	B3yjSCMOMxI	2016-02-11	B3yjSCMOMxI
http://amzn.to/2yZW8G5	1	2017-08-30	CUbdyLDzoG0	2017-08-30	CUbdyLDzoG0
http://amzn.to/2xXjtYV	1	2017-09-27	6eYMbCKBLNY	2017-09-27	6eYMbCKBLNY
https://www.selfauthoring.com	1	2017-11-01	23dArPpXgCM	2017-11-01	23dArPpXgCM
https://www.understandmyself.com	1	2017-11-01	23dArPpXgCM	2017-11-01	23dArPpXgCM
http://amzn.to/2FJHXrZ	1	2018-01-18	klYZ2AI9Hmo	2018-01-18	klYZ2AI9Hmo
https://amzn.to/2N6YEQS	1	2018-07-13	mizmXTWDf-4	2018-07-13	mizmXTWDf-4
https://amzn.to/2ztQMqL	1	2018-07-13	mizmXTWDf-4	2018-07-13	mizmXTWDf-4
http://www.jockostore.com	3	2018-07-13	mizmXTWDf-4	2022-12-16	XvToPsrREV4
https://amzn.to/2LFBl4B	1	2018-08-01	46bpGQXcKSU	2018-08-01	46bpGQXcKSU
https://amzn.to/2wjmW3h	1	2018-08-22	YMktUe8LSWE	2018-08-22	YMktUe8LSWE
https://amzn.to/2CN7Rh4	1	2018-09-12	UY4qg1tNShw	2018-09-12	UY4qg1tNShw
https://amzn.to/2PSpdev	1	2018-10-24	_K9ICXapatg	2018-10-24	_K9ICXapatg
http://www.joshhallsurfboards.com	1	2018-11-07	kjF9uHZW_QE	2018-11-07	kjF9uHZW_QE
https://amzn.to/2EDF7r3	1	2018-12-20	swWMumjeNBg	2018-12-20	swWMumjeNBg
https://amzn.to/2RmyShu	1	2019-01-03	pILRCfi0LiU	2019-01-03	pILRCfi0LiU
https://www.jockostore.com/collections/men	54	2019-03-27	UG1fmSKw_Qg	2020-10-23	TagQ61l_taM
https://originmaine.com/origin-usa/nutrition/	1	2019-03-27	UG1fmSKw_Qg	2019-03-27	UG1fmSKw_Qg
https://originmaine.com/origin-usa/bjj-mma-fit/	1	2019-03-27	UG1fmSKw_Qg	2019-03-27	UG1fmSKw_Qg
http://www.onnit.com/jocko	26	2019-03-27	UG1fmSKw_Qg	2019-11-27	r70l9Qjzfow
http://www.jockotea.com	15	2019-03-27	UG1fmSKw_Qg	2019-08-15	2Wsxxa5jh-I
https://www.jockostore.com/collection	17	2019-04-04	m5CkAJu9t8E	2020-06-12	gxiDFppZCfU
https://originmaine.com/origin-usa/nu	5	2019-04-04	m5CkAJu9t8E	2019-05-15	HL1LBA6D37E
https://originmaine.com/origin-usa/bj	5	2019-04-04	m5CkAJu9t8E	2019-05-15	HL1LBA6D37E
https://originmaine.com/nutrition/jocko-fuel/	12	2019-06-12	5CnmUAneAxA	2019-11-21	TlAoAZIAxQI
https://originmaine.com/durable-goods/	141	2019-06-12	5CnmUAneAxA	2022-12-27	GvXWUX7jjZY
https://originmaine.com/bjj-mma-fit/	91	2019-06-12	5CnmUAneAxA	2021-06-16	remurnxiHgU
https://originmaine.com/nutrition/joc	11	2019-06-20	0xjwJHzwRTo	2019-11-27	r70l9Qjzfow
https://amzn.to/2pCKocA	3	2019-11-21	TlAoAZIAxQI	2019-12-07	w5ajc6qds3c
https://originmaine.com/origin-labs/	34	2019-12-07	w5ajc6qds3c	2020-08-17	6DMygFhGEtU
https://amzn.to/2PfflO9	1	2019-12-12	S1ctMlVSbro	2019-12-12	S1ctMlVSbro
https://amzn.to/2ZE8FwA	1	2020-01-01	iMGWTGGVMzw	2020-01-01	iMGWTGGVMzw
https://amzn.to/2R8Q87V	2	2020-01-08	k0cYXlfwIYc	2020-01-08	k0cYXlfwIYc
https://amzn.to/32OK9KB	1	2020-03-04	Th1t1UvnYP4	2020-03-04	Th1t1UvnYP4
https://amzn.to/33O9lBI	1	2020-03-25	yjrQayR_S8k	2020-03-25	yjrQayR_S8k
https://amzn.to/3aD8WDK	1	2020-04-23	oymhXVCR53s	2020-04-23	oymhXVCR53s
