Statistic	Value
Total videos	370
Total views	64,948,316
Total likes	1,258,996
Total dislikes	0
Total comments	129,819
Total video length	 1 months 12 days 5h 18m 54s 
Average video length	   2h 48m 12s 
Videos with geolocation	0
Videos with recordingDate	0
Videos with tags	349
Videos with language	0
Videos with audio language	368
Videos with localizations	0
Videos with content rating(s)	0
Videos with region restriction(s)	0
Videos with captions	204
Videos with comments disabled	0
Videos with likes disabled	0
Videos with views disabled	0
Videos considered livestreams	0
Videos with license=creativeCommon	0
Videos with privacyStatus=unlisted	0
Videos with madeForKids=true	0
Videos with embeddable=false	0
Videos with dimension=3d	0
Videos with projection=360	0
