Tag	Count	First used	First video	Last used	Last video
1951	1	2018-10-24	_K9ICXapatg	2018-10-24	_K9ICXapatg
1984	1	2021-01-07	QtVyxGW7Qzs	2021-01-07	QtVyxGW7Qzs
jocko willink	312	2015-12-28	dv-OqLsV2T8	2023-02-02	Gp-ZCDOS-nk
echo charles	328	2015-12-28	dv-OqLsV2T8	2023-02-02	Gp-ZCDOS-nk
podcast	203	2015-12-28	dv-OqLsV2T8	2023-02-02	Gp-ZCDOS-nk
leadership	308	2015-12-28	dv-OqLsV2T8	2023-02-02	Gp-ZCDOS-nk
leif babin	6	2015-12-28	dv-OqLsV2T8	2018-08-16	zykkngRWy_A
navy	11	2015-12-28	dv-OqLsV2T8	2017-10-12	xaVM7A_VeXs
seal	5	2015-12-28	dv-OqLsV2T8	2016-09-14	GaZ-RrNeRYg
seal teams	13	2015-12-28	dv-OqLsV2T8	2019-07-25	mjVZQUEdfP0
iraq war	8	2015-12-28	dv-OqLsV2T8	2017-03-15	uWUYcrbdu1o
military	320	2015-12-28	dv-OqLsV2T8	2023-02-02	Gp-ZCDOS-nk
jocko	208	2015-12-28	02tq9USODe4	2023-02-02	Gp-ZCDOS-nk
willink	11	2015-12-28	02tq9USODe4	2019-11-27	r70l9Qjzfow
echo	11	2015-12-28	02tq9USODe4	2016-08-03	QCLekHOpO24
charles	2	2015-12-28	02tq9USODe4	2015-12-31	XdntJrOJ4rs
extreme ownership	271	2015-12-28	02tq9USODe4	2023-02-02	Gp-ZCDOS-nk
discipline	244	2015-12-28	02tq9USODe4	2023-02-02	Gp-ZCDOS-nk
mental toughness	6	2015-12-28	02tq9USODe4	2016-04-06	f-6ISTjlNQs
jiu jitsu	205	2015-12-28	02tq9USODe4	2023-02-02	Gp-ZCDOS-nk
bjj	191	2015-12-28	02tq9USODe4	2023-02-02	Gp-ZCDOS-nk
mma	200	2015-12-28	02tq9USODe4	2023-02-02	Gp-ZCDOS-nk
victory mma	12	2015-12-28	02tq9USODe4	2018-08-08	9-hEh7thG1Y
martial arts	7	2015-12-28	02tq9USODe4	2020-07-01	sM22h9ccPvQ
navy seal	331	2015-12-31	XdntJrOJ4rs	2023-02-02	Gp-ZCDOS-nk
mixed martial arts	2	2015-12-31	XdntJrOJ4rs	2016-02-11	B3yjSCMOMxI
inspiration	1	2015-12-31	XdntJrOJ4rs	2015-12-31	XdntJrOJ4rs
motivation	7	2015-12-31	XdntJrOJ4rs	2019-03-27	UG1fmSKw_Qg
san diego	7	2016-01-07	X-kXl-e1stI	2018-11-07	kjF9uHZW_QE
black belt	2	2016-01-07	X-kXl-e1stI	2016-01-13	qZkvWATBwbs
jocko podcast	146	2016-01-13	qZkvWATBwbs	2019-11-21	TlAoAZIAxQI
morejocko	1	2016-01-20	53AnXOAcL9Y	2016-01-20	53AnXOAcL9Y
flixpoint	181	2016-01-27	S-EnTCoQPsI	2023-02-02	Gp-ZCDOS-nk
video	2	2016-01-27	S-EnTCoQPsI	2019-11-27	r70l9Qjzfow
freedom	141	2016-01-27	S-EnTCoQPsI	2019-11-27	r70l9Qjzfow
usa	181	2016-02-03	GZrgVExV41A	2023-02-02	Gp-ZCDOS-nk
good	5	2016-02-03	GZrgVExV41A	2019-05-22	MFxPmXXSqoQ
ownership	3	2016-02-11	B3yjSCMOMxI	2016-02-24	BCHkbr4Fr7k
