Video ID	Title	Channel ID	Author	Description	Length	Length (Seconds)	Published	Language	Audio Language	Views	Likes	Dislikes	Like Ratio	Comments	Source	Kids	Embeddable	Licensed Content	Dimension	Definition	Caption	Projection	License	Privacy Status	Content Rating	Region Restriction Count	Region Restriction	Livestream	Location Name	Location	Recording Date	Tag Count	Tags	Localization Count	Localizations
<a target='_blank' href='https://youtu.be/dv-OqLsV2T8'>dv-OqLsV2T8</a>	<a target='_blank' href='https://youtu.be/dv-OqLsV2T8'>Jocko Podcast #1 - With Echo Charles | Leadership, Ownership, Mental Toughness</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	Navy SEAL, Jocko Willink and Director, Echo Charles discuss leadership, ownership, and mental toughness.  Extreme Ownership.<br><br>Available on iTunes and Stitcher.	   1h 26m 39s 	5199	2015-12-28T22:02:15Z		en	286,829	5,997			410	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	hd	false	rectangular	youtube	public								10	jocko willink, echo charles, podcast, leadership, leif babin, navy, seal, seal teams, iraq war, military	0	
<a target='_blank' href='https://youtu.be/02tq9USODe4'>02tq9USODe4</a>	<a target='_blank' href='https://youtu.be/02tq9USODe4'>Jocko Podcast #2 - With Echo Charles | "About Face" Book, Mental Toughness, New Years Resolutions</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	Navy SEAL, Jocko Willink and Director, Echo Charles discuss the book, "About Face" by David Hackworth.  Answer internet questions and also converse about methods to improve mental toughness, Brazilian Jiu Jitsu, the importance of discipline, and talk about New Years resolutions. Extreme Ownership.<br><br>0:00:00 – 1:01:00 – “About Face” (David Hackworth) Book Analysis and Relevance.<br><br>1:01:00 – 2:02:25 – Internet Questions on Mental Toughness, Balance, Jiu Jitsu, and New Years Resolutions.<br><br>Available on iTunes and Stitcher.	   2h 3m  	7380	2015-12-28T22:34:18Z		en	193,014	3,391			205	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	hd	false	rectangular	youtube	public								18	jocko, willink, navy, seal, seal teams, echo, charles, echo charles, military, podcast, extreme ownership, discipline, mental toughness, jiu jitsu, bjj, mma, victory mma, martial arts	0	
<a target='_blank' href='https://youtu.be/XdntJrOJ4rs'>XdntJrOJ4rs</a>	<a target='_blank' href='https://youtu.be/XdntJrOJ4rs'>Jocko Podcast #3 - With Echo Charles | "The Last Hundred Yards" Book, Jiu Jitsu, Bosses, Failure</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	Navy SEAL, Jocko Willink and Director, Echo Charles discuss the book, "The Last Hundred Yards."  Answer internet questions and also converse about Jiu Jitsu training, managing expectations with friends and family, and dealing with bosses and failure.<br><br>0:00:00 – 1:09:19 – “The Last Hundred Yards” Book Analysis and Relevance. <br><br>1:09:19 – 1:48:24 – Internet Questions on Jiu Jitsu, Micromanagers, Inept Bosses, and Failure.<br><br>Available on iTunes and Stitcher.	   1h 48m 56s 	6536	2015-12-31T19:56:06Z		en	105,084	1,973			102	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	hd	false	rectangular	youtube	public								16	jocko, willink, echo, charles, echo charles, navy, seal, navy seal, bjj, jiu jitsu, mma, mixed martial arts, mental toughness, inspiration, motivation, discipline	0	
<a target='_blank' href='https://youtu.be/X-kXl-e1stI'>X-kXl-e1stI</a>	<a target='_blank' href='https://youtu.be/X-kXl-e1stI'>Jocko Podcast #4: RENDEZVOUS WITH DEATH, Disrespect, Workouts</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	Navy SEAL, Jocko Willink and Director, Echo Charles discuss the poem, "Rendezvous", and the book, "Battle Leadership" (Adolf Von Schell).. Answer internet questions and also converse about encountering disrespect, workouts, and leading one's self. <br><br>Available on iTunes and Stitcher.<br><br>0:00:00 – 1:07:32  -  “Rendezvous” Poem.  “Battle Leadership” (Adolf Von Schell)<br><br>1:07:32  -  Internet Questions	   1h 42m  	6120	2016-01-07T11:24:18Z		en	98,126	1,856			73	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	hd	false	rectangular	youtube	public								13	jocko, podcast, leadership, echo, echo charles, jocko willink, navy seal, military, mma, jiu jitsu, victory mma, san diego, black belt	0	
<a target='_blank' href='https://youtu.be/qZkvWATBwbs'>qZkvWATBwbs</a>	<a target='_blank' href='https://youtu.be/qZkvWATBwbs'>Jocko Podcast #5 - With Echo Charles | Corrective Measures | Workouts | Diet</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	Navy SEAL, Jocko Willink and Director, Echo Charles discuss leadership corrective measures, as well as firing.  Internet questions:  Workout, diet, Henry Rollins, Richard Marcinko.<br>@jockowillink<br>@echocharles<br><br>Available on iTunes and Stitcher.	   1h 49m 18s 	6558	2016-01-13T08:07:07Z		en	114,694	2,230			118	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	hd	false	rectangular	youtube	public								13	jocko podcast, jocko, echo, echo charles, podcast, mma, jiu jitsu, black belt, navy, seal, navy seal, discipline, mental toughness	0	
<a target='_blank' href='https://youtu.be/53AnXOAcL9Y'>53AnXOAcL9Y</a>	<a target='_blank' href='https://youtu.be/53AnXOAcL9Y'>Jocko Podcast #6 - With Echo Charles | Napoleon | Aggression | Mind Control</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	Navy SEAL, Jocko Willink and Director, Echo Charles discuss winning tactics.  Internet questions:  Agression, Jiu Jitsu Academies, Character Judgement, and Mind Control.<br>@jockowillink<br>@echocharles<br><br>Available on iTunes and Stitcher.	   2h 6m 8s 	7568	2016-01-20T18:02:39Z		en	95,562	1,704			95	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	hd	false	rectangular	youtube	public								12	jocko, morejocko, podcast, navy seal, navy, seal teams, willink, echo charles, echo, jiu jitsu, bjj, mma	0	
<a target='_blank' href='https://youtu.be/S-EnTCoQPsI'>S-EnTCoQPsI</a>	<a target='_blank' href='https://youtu.be/S-EnTCoQPsI'>Jocko Podcast #7 - With Echo Charles | Where Does Discipline Come From?</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	TOPICS:  Project Jaffna (Book);  Jiu Jitsu With Inexperienced Athletic Types; Leaders With Egos; Gains While Getting Older; Source of Discipline.<br><br>@jockowillink<br>@echocharles<br><br>Available on iTunes and Stitcher.	   2h 6m 33s 	7593	2016-01-27T08:10:48Z			110,625	2,190			180	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true		2d	hd	false	rectangular	youtube	public								17	jocko, podcast, echo, echo charles, flixpoint, jocko willink, navy seal, video, bjj, jiu jitsu, mma, victory mma, san diego, discipline, freedom, mental toughness, extreme ownership	0	
<a target='_blank' href='https://youtu.be/GZrgVExV41A'>GZrgVExV41A</a>	<a target='_blank' href='https://youtu.be/GZrgVExV41A'>Jocko Podcast #8 - With Echo Charles | Jocko's Weakness</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	0:00:00 - 1:05:01 - Book Review: The USMC Manual<br><br>1:05:02 - Injury, recovery, and mentality for quicker recovery.  Finding Physical limits without recovery.<br><br>1:11:20 - What injuries has Jocko gotten?  And how did he adapt?<br><br>1:19:28 - Fear of Public Speaking and other things.<br><br>1:26:42 - When you know you're "that guy" as a leader.<br><br>1:31:41 - What is Jocko's biggest weakness?  And what is he doing to work through it? <br><br>Twitter / Instagram:  @jockowillink<br>@echocharles	   1h 35m 35s 	5735	2016-02-03T08:08:44Z			71,769	1,606			92	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	hd	false	rectangular	youtube	public								12	jocko, echo charles, podcast, navy seal, mma, bjj, jiu jitsu, flixpoint, discipline, freedom, usa, good	0	
<a target='_blank' href='https://youtu.be/B3yjSCMOMxI'>B3yjSCMOMxI</a>	<a target='_blank' href='https://youtu.be/B3yjSCMOMxI'>Jocko Podcast #9 - With Echo Charles | "The Motivation" | BJJ, Home Gyms, Hero Worship</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	0:00:00 – “War as I Knew it” – General George S. Patton <br>1:15:50 – Is Jiu Jitsu practical for street defense, knives, multiple attackers, etc?<br><br>      Extension video From Tim Ferriss interview (Facebook): <br>      https://www.facebook.com/TimFerriss/v... <br>1:28:00 – Leading UP the chain of command in an organization who’s tradition is para-military.<br>1:34:22 – Essential equipment for a home gym.<br>1:47:12 – Worrying about hero-worship.<br>2:05:49 – What motivates Jocko?	   2h 13m 46s 	8026	2016-02-11T05:21:53Z		en	88,588	1,693			123	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	sd	false	rectangular	youtube	public								12	jocko, echo charles, mma, bjj, ownership, leadership, navy seal, podcast, good, willink, jiu jitsu, mixed martial arts	0	
<a target='_blank' href='https://youtu.be/u1Jlhg-4iCI'>u1Jlhg-4iCI</a>	<a target='_blank' href='https://youtu.be/u1Jlhg-4iCI'>Jocko Podcast #10 - with Echo Charles | STRESS--DEAL WITH IT, Use it</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>UCkqcY4CAuBFNFho6JgygCnA</a>	<a target='_blank' href='https://www.youtube.com/channel/UCkqcY4CAuBFNFho6JgygCnA'>Jocko Podcast</a>	0:00:00 – 1:02:18 – Book Review: “With the Old Breed,” by Eugene Sledge<br><br>1:04:20 – How do you balance Extreme Ownership with holding others accountable?<br><br>1:16:00 – What are the best ways a Police Officer can mentally condition themselves for unpredictable violence and confrontation?<br><br>1:35:06 – What martial art should I put my kids in?<br><br>1:42:45 – How to overcome friction as the new leader in a new organization.<br><br>1:51:36 – How to learn/practice detachment in real time.<br><br>2:01:00 – Cussing and Foul Language?<br><br>2:15:11 – Dealing with situational stress in life.	   2h 21m 51s 	8511	2016-02-18T00:30:06Z		en	87,763	1,762			95	Playlist: <a target='_blank' href='https://www.youtube.com/playlist?list=PLIEQamvEuqUf8gQpt7TvK43Agb_y2iWwO'>Jocko Podcast Episodes</a> (added 2022-06-22)		true	true	2d	sd	false	rectangular	youtube	public								12	jocko, echo, willink, flixpoint, navy seal, bjj, podcast, mma, jiu jitsu, leadership, ownership, mental toughness	0	
